iter	TotalF1	MultiClass
474	0.9567752405	0.1800302208
475	0.9567752405	0.1797894971
476	0.9572354231	0.1795646255
477	0.9574653657	0.1792620893
478	0.9579249547	0.1788131007
479	0.9579249547	0.1785140333
480	0.9581546014	0.1781890504
481	0.9583841499	0.1779071758
482	0.9581709651	0.1776055124
483	0.9581709651	0.1773860275
484	0.9586297453	0.1769597428
485	0.9590881352	0.1766726132
486	0.9586297453	0.1764878804
487	0.9590881352	0.1760147826
488	0.9588589889	0.1758091413
489	0.9593171843	0.175669182
490	0.9593171843	0.1751959397
491	0.9588589889	0.1748445988
492	0.9588589889	0.1741610065
493	0.9588589889	0.1739071868
494	0.9593171843	0.1735736541
495	0.9599882552	0.1732721087
496	0.960674275	0.1728334598
497	0.9597749918	0.1727794168
498	0.9604456981	0.1722954622
499	0.960674275	0.17198138
500	0.960674275	0.171499843
501	0.9609027559	0.1712374103
502	0.9611311409	0.1710895141
503	0.9611311409	0.1708551166
504	0.9609027559	0.1704495489
505	0.9606894493	0.1702545611
506	0.9609178237	0.1699472051
507	0.9616023739	0.1698284553
508	0.961830367	0.1696351464
509	0.961830367	0.1694790729
510	0.961830367	0.1691539097
511	0.9620582653	0.1688689416
512	0.9627271675	0.1684630965
513	0.9631823232	0.16799566
514	0.9629689137	0.167782492
515	0.9634236739	0.1674320241
516	0.9638643526	0.1672198762
517	0.9636371031	0.1670544216
518	0.9638643526	0.166970011
519	0.9640915087	0.1666194988
520	0.9643185716	0.1664601174
521	0.9647857166	0.1661241887
522	0.9652389899	0.1658696901
523	0.9654654885	0.165630598
524	0.9652389899	0.1652714042
525	0.9650123994	0.1650612823
526	0.9654654885	0.1648310952
527	0.9656918953	0.1646906044
528	0.9656918953	0.1646174123
529	0.9654654885	0.1644132283
530	0.9654654885	0.1643161558
531	0.9654654885	0.163877915
532	0.9661317428	0.163704682
533	0.9663579755	0.1634959933
534	0.9661317428	0.1631376302
535	0.9659054186	0.1627964766
536	0.9659054186	0.1626597452
537	0.9661317428	0.1624275496
538	0.9663579755	0.1623630116
539	0.9665841168	0.1621571552
540	0.9659182104	0.1616980683
541	0.9656918953	0.161457143
542	0.9665841168	0.1612251169
543	0.9665841168	0.1610661649
544	0.9670361264	0.1608175287
545	0.9668101671	0.1606448791
546	0.9665841168	0.1603656276
547	0.9668101671	0.1600687985
548	0.9668101671	0.159856689
549	0.9670361264	0.1596996319
550	0.967487773	0.1594335564
551	0.967487773	0.1591112674
